Cohort,Subgroup,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Texas Cohort,D,10030,758,Logistic Regression,0.7241 (0.7024 - 0.7438),0.1925 (0.1811 - 0.2034),0.5138 (0.4777 - 0.5495),0.5113 (0.4646 - 0.5580),0.4483 (0.4065 - 0.4897),0.7662 (0.7425 - 0.7872),0.6024 (0.5598 - 0.6514),0.7630 (0.7399 - 0.7848)
Texas Cohort,D,10030,758,Random Forest,0.6344 (0.6107 - 0.6531),0.1620 (0.1542 - 0.1702),0.5014 (0.4694 - 0.5286),0.4674 (0.4238 - 0.5127),0.3744 (0.3412 - 0.4037),0.7366 (0.7126 - 0.7622),0.7593 (0.7221 - 0.7963),0.5945 (0.5691 - 0.6210)
Texas Cohort,D,10030,758,SAINT Transformer,0.3141 (0.2946 - 0.3340),0.1985 (0.1912 - 0.2057),0.3968 (0.3723 - 0.4223),0.2907 (0.2563 - 0.3258),0.2522 (0.2327 - 0.2733),0.5717 (0.5400 - 0.6002),0.9316 (0.9102 - 0.9515),0.1166 (0.1022 - 0.1347)
Texas Cohort,D,10030,758,Standard MLP,0.7070 (0.6879 - 0.7283),0.1924 (0.1810 - 0.2035),0.4943 (0.4584 - 0.5313),0.5004 (0.4496 - 0.5492),0.4248 (0.3835 - 0.4644),0.7581 (0.7339 - 0.7814),0.5916 (0.5446 - 0.6315),0.7439 (0.7216 - 0.7676)
Texas Cohort,D,10030,758,Standard Transformer,0.2833 (0.2642 - 0.3031),0.2528 (0.2478 - 0.2568),0.3956 (0.3731 - 0.4222),0.2979 (0.2658 - 0.3316),0.2486 (0.2311 - 0.2694),0.5853 (0.5591 - 0.6118),0.9686 (0.9516 - 0.9823),0.0642 (0.0542 - 0.0739)
Texas Cohort,D,10030,758,XGBoost,0.7153 (0.6959 - 0.7403),0.1592 (0.1496 - 0.1688),0.5457 (0.5104 - 0.5797),0.5233 (0.4734 - 0.5618),0.4449 (0.4085 - 0.4797),0.7898 (0.7669 - 0.8119),0.7064 (0.6659 - 0.7516),0.7181 (0.6975 - 0.7465)
Texas Cohort,D + HF,1216,758,CatBoost,0.6612 (0.6065 - 0.7090),0.2081 (0.1813 - 0.2393),0.7216 (0.6666 - 0.7736),0.6984 (0.5965 - 0.8020),0.5933 (0.5247 - 0.6630),0.7558 (0.6923 - 0.8148),0.9229 (0.8760 - 0.9647),0.4221 (0.3333 - 0.5077)
Texas Cohort,D + HF,1216,758,Gradient Boosting,0.6278 (0.5778 - 0.6804),0.2075 (0.1839 - 0.2306),0.6982 (0.6475 - 0.7561),0.7062 (0.6308 - 0.7837),0.5692 (0.5084 - 0.6475),0.7401 (0.6828 - 0.7963),0.9051 (0.8557 - 0.9460),0.3746 (0.2954 - 0.4542)
Texas Cohort,D + HF,1216,758,HIR-M3 Transformer,0.4773 (0.4220 - 0.5451),0.2544 (0.2484 - 0.2598),0.6455 (0.5936 - 0.7056),0.4984 (0.4043 - 0.5907),0.4773 (0.4220 - 0.5451),0.5055 (0.4324 - 0.5655),1.0000 (1.0000 - 1.0000),0.0000 (0.0000 - 0.0000)
Texas Cohort,D + HF,1216,758,LightGBM,0.6442 (0.5861 - 0.6967),0.2496 (0.1992 - 0.2904),0.7154 (0.6555 - 0.7665),0.7277 (0.6256 - 0.8067),0.5782 (0.5174 - 0.6465),0.7576 (0.6945 - 0.8154),0.9402 (0.8967 - 0.9752),0.3739 (0.2991 - 0.4539)
Texas Cohort,D + HF,1216,758,Logistic Regression,0.4892 (0.4302 - 0.5493),0.3552 (0.3003 - 0.4137),0.6487 (0.5947 - 0.7044),0.6039 (0.5212 - 0.6995),0.4829 (0.4249 - 0.5460),0.6296 (0.5525 - 0.6958),0.9909 (0.9717 - 1.0000),0.0309 (0.0072 - 0.0656)
Texas Cohort,D + HF,1216,758,Random Forest,0.5759 (0.5203 - 0.6393),0.2228 (0.2059 - 0.2407),0.6699 (0.6108 - 0.7300),0.6748 (0.5834 - 0.7610),0.5328 (0.4642 - 0.6043),0.6890 (0.6201 - 0.7607),0.9045 (0.8532 - 0.9496),0.2758 (0.2092 - 0.3507)
Texas Cohort,D + HF,1216,758,SAINT Transformer,0.4773 (0.4220 - 0.5451),0.2521 (0.2483 - 0.2562),0.6455 (0.5936 - 0.7056),0.4941 (0.4081 - 0.5905),0.4773 (0.4220 - 0.5451),0.4911 (0.4247 - 0.5589),1.0000 (1.0000 - 1.0000),0.0000 (0.0000 - 0.0000)
Texas Cohort,D + HF,1216,758,Standard MLP,0.4781 (0.4180 - 0.5369),0.2451 (0.2290 - 0.2638),0.6402 (0.5840 - 0.6954),0.5917 (0.4840 - 0.6931),0.4772 (0.4177 - 0.5398),0.6028 (0.5247 - 0.6669),0.9755 (0.9439 - 1.0000),0.0239 (0.0000 - 0.0494)
Texas Cohort,D + HF,1216,758,Standard Transformer,0.4732 (0.4179 - 0.5411),0.2707 (0.2543 - 0.2826),0.6418 (0.5895 - 0.7022),0.4762 (0.3999 - 0.5662),0.4752 (0.4197 - 0.5433),0.4629 (0.3957 - 0.5409),0.9914 (0.9732 - 1.0000),0.0000 (0.0000 - 0.0000)
Texas Cohort,D + HF,1216,758,XGBoost,0.6785 (0.6189 - 0.7255),0.2284 (0.1939 - 0.2629),0.7265 (0.6691 - 0.7761),0.7181 (0.6186 - 0.7970),0.6110 (0.5432 - 0.6854),0.7540 (0.6978 - 0.8018),0.8978 (0.8429 - 0.9500),0.4781 (0.3968 - 0.5566)
Texas Cohort,D + HF + Hyp,925,758,CatBoost,0.6499 (0.5730 - 0.7189),0.2351 (0.1946 - 0.2796),0.7319 (0.6639 - 0.7940),0.6710 (0.5648 - 0.7623),0.6014 (0.5197 - 0.6843),0.7154 (0.6363 - 0.7809),0.9373 (0.8850 - 0.9884),0.3487 (0.2523 - 0.4409)
Texas Cohort,D + HF + Hyp,925,758,Gradient Boosting,0.5855 (0.5134 - 0.6595),0.2107 (0.1824 - 0.2414),0.7089 (0.6453 - 0.7676),0.6937 (0.5864 - 0.7939),0.5532 (0.4800 - 0.6266),0.7301 (0.6625 - 0.7974),0.9896 (0.9625 - 1.0000),0.1620 (0.0851 - 0.2340)
Texas Cohort,D + HF + Hyp,925,758,HIR-M3 Transformer,0.5286 (0.4539 - 0.6000),0.2489 (0.2467 - 0.2515),0.3048 (0.2031 - 0.4000),0.6033 (0.4993 - 0.6961),0.6205 (0.4411 - 0.7667),0.6224 (0.5539 - 0.6964),0.2035 (0.1312 - 0.2756),0.8696 (0.7979 - 0.9293)
Texas Cohort,D + HF + Hyp,925,758,LightGBM,0.6639 (0.5999 - 0.7297),0.2789 (0.2267 - 0.3338),0.7204 (0.6573 - 0.7826),0.7191 (0.6205 - 0.7971),0.6268 (0.5413 - 0.7201),0.7172 (0.6358 - 0.7828),0.8495 (0.7647 - 0.9200),0.4697 (0.3707 - 0.5643)
Texas Cohort,D + HF + Hyp,925,758,Logistic Regression,0.5934 (0.5242 - 0.6703),0.3208 (0.2644 - 0.3897),0.6780 (0.6118 - 0.7484),0.6241 (0.5310 - 0.7395),0.5698 (0.4823 - 0.6526),0.6412 (0.5585 - 0.7160),0.8395 (0.7613 - 0.9159),0.3356 (0.2416 - 0.4257)
Texas Cohort,D + HF + Hyp,925,758,Random Forest,0.6108 (0.5351 - 0.6758),0.2346 (0.2183 - 0.2536),0.6616 (0.5943 - 0.7383),0.6234 (0.5216 - 0.7157),0.5958 (0.5077 - 0.6855),0.6345 (0.5538 - 0.7014),0.7460 (0.6770 - 0.8242),0.4689 (0.3625 - 0.5629)
Texas Cohort,D + HF + Hyp,925,758,SAINT Transformer,0.5392 (0.4811 - 0.6055),0.2403 (0.2265 - 0.2544),0.6364 (0.5660 - 0.7082),0.6513 (0.5475 - 0.7450),0.5336 (0.4450 - 0.6108),0.6238 (0.5369 - 0.7017),0.7912 (0.7113 - 0.8778),0.2752 (0.1891 - 0.3647)
Texas Cohort,D + HF + Hyp,925,758,Standard MLP,0.5786 (0.4970 - 0.6432),0.2457 (0.2222 - 0.2730),0.6266 (0.5464 - 0.6969),0.6337 (0.5424 - 0.7205),0.5732 (0.4862 - 0.6572),0.6233 (0.5383 - 0.6994),0.6937 (0.6091 - 0.7792),0.4585 (0.3441 - 0.5523)
