Dataset,Method,Feature Name,Score
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CFMT,1.0000000166853296
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_val_15,1.0000000164696863
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_7,1.000000015799109
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2AGMS,1.0000000157018372
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1AHMS,1.0000000148528818
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CFKS,1.0000000143617855
Complete Cohort,Variance Threshold,ACS_PCT_POV_WHITE,1.0000000138464942
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_26,1.0000000137253084
Complete Cohort,Variance Threshold,ACS_PCT_HH_PC,1.0000000137027132
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BHKT,1.000000013415807
Complete Cohort,Variance Threshold,COUNTY_NAME_Williamson,1.000000013385882
Complete Cohort,Variance Threshold,ACS_PCT_VET_COLLEGE,1.0000000130916338
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_72,1.000000013081851
Complete Cohort,Variance Threshold,ACS_PCT_PERSON_INC_100_124,1.000000012416244
Complete Cohort,Variance Threshold,elix_swiss_ageadj,1.0000000119634054
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_10,1.0000000117676657
Complete Cohort,Variance Threshold,ACS_PCT_HH_INTERNET_NO_SUBS,1.0000000117337227
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CHNS,1.0000000115784358
Complete Cohort,Variance Threshold,ACS_PCT_HH_KID_1PRNT,1.0000000111225622
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2BGMS,1.0000000110445633
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_139,1.0000000104294833
Complete Cohort,Variance Threshold,COUNTY_NAME_Montgomery,1.0000000103717084
Complete Cohort,Variance Threshold,ACS_PCT_GRANDP_RESPS_P,1.000000010328419
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_16,1.0000000099386286
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_28,1.0000000098372117
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_4,1.0000000088872396
