Cluster_ID,Cluster_Name,Source_Column
-35,"Neurologic: G20., G30.9",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-34,"Circulatory: F01.50, I69.311",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-33,"Endocrine/Metabolic: E83.42, E83.51",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-32,"Factors Influencing Health Status: E66.01, Z68.41",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-31,"Musculoskeletal: E11.69, M86.9",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-30,"Circulatory: I87.2, I89.0",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-29,"Endocrine/Metabolic: M12.89, E11.618",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-28,"Factors Influencing Health Status: E11.51, E11.621",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-27,"Digestive: E11.43, K31.84",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-26,"Endocrine/Metabolic: E10.22, E10.65",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-25,"Endocrine/Metabolic: T38.0X5D, G72.0",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-24,"Endocrine/Metabolic: E08.9, K86.81",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-23,"Injury/Toxicity: T45.515D, D68.32",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-22,"Injury/Toxicity: G62.0, T45.1X5D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-20,"Other: D62., D50.0",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-19,"Factors Influencing Health Status: J91.0, Z46.82",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-18,"Factors Influencing Health Status: N40.1, Z46.6",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-17,"Neoplasm/Hematologic: C56.9, C78.6",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-16,"Neoplasm/Hematologic: C56.1, C56.2",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-15,"Factors Influencing Health Status: Z85.3, C50.912",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-14,"Neoplasm/Hematologic: C50.811, C50.812",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-13,"Neoplasm/Hematologic: C44.42, C44.329",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-12,"Musculoskeletal: M84.58XD, C41.2",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-11,"Circulatory: I69.354, I69.351",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-10,"Digestive: C25.0, K83.1",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-9,"Factors Influencing Health Status: Z48.815, Z43.3",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-8,"Neoplasm/Hematologic: C61., C34.90",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-7,"Factors Influencing Health Status: C15.9, Z43.4",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-6,"Neoplasm/Hematologic: C77.0, C09.9",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-5,"Genitourinary: N39.0, B96.20",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-4,"Infectious: R78.81, B95.61",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-3,"Circulatory: B95.4, I33.0",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-2,"Digestive: K74.60, B18.2",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
