Method,Dataset,Feature_Short,Score_TX,Score_Nationwide,Score_Diff,Abs_Diff
Permutation Importance (RF),Heart Failure Patients,Days Cared For,0.0379646717637754,-0.0055,0.0434646717637754,0.0434646717637754
Permutation Importance (Ridge/LogReg),Heart Failure Patients,CHF,0.0661218033219087,0.023,0.0431218033219087,0.0431218033219087
Lasso (L1 LogReg),Heart Failure Patients,Acs % Hh Limit English,0.0,-0.0417900026440086,0.0417900026440086,0.0417900026440086
Lasso (L1 LogReg),Diabetic Patients,HIPPS: Other,0.086304764363821,0.0453563348640328,0.04094842949978819,0.04094842949978819
Lasso (L1 LogReg),Heart Failure Patients,Acs % Pov Hispanic,0.0408330241029177,0.0,0.0408330241029177,0.0408330241029177
Lasso (L1 LogReg),Heart Failure Patients,BMI: Obese Class3,0.0,-0.0405505550384718,0.0405505550384718,0.0405505550384718
Lasso (L1 LogReg),Diabetic Patients,CANC,0.0083970247562085,0.048675803218625,-0.040278778462416495,0.040278778462416495
Random Forest Importance,Heart Failure Patients,elix quan score,0.0214167575833423,0.0607895871681712,-0.0393728295848289,0.0393728295848289
Lasso (L1 LogReg),Diabetic Patients,Primary Diagnosis ICD 10 C M Code Cluster Other,0.0386955795302771,0.0,0.0386955795302771,0.0386955795302771
HIR-M3 Attention Importance,Complete Cohort,HIPPS: 2CGMS,0.04244240000844,0.003769275965169,0.038673124043270994,0.038673124043270994
Lasso (L1 LogReg),Diabetic Patients,HIPPS: 1CGPS,0.0,-0.0363558727578117,0.0363558727578117,0.0363558727578117
Lasso (L1 LogReg),Diabetic Patients,"Primary Dx – Factors Influencing Health Status: Z48.812, I21.4",0.0221273701862032,-0.0135482082221201,0.0356755784083233,0.0356755784083233
Random Forest Importance,Hypertensive Patients,HYPUNC,0.008108526974551,0.0431419775588738,-0.0350334505843228,0.0350334505843228
